DateTime,Kitchen Cabinet,2nd Floor Bedroom,Main Bedroom,Living Room,Outside
44803.63194,25,,,,
44803.67361,25.1,,,,
44803.71528,25.1,,,,
44803.75694,25.2,,,,
44803.79861,25.2,,,,
44803.84028,25.2,,,,
44803.88194,25.1,,,,
44803.92361,25,,,,
44803.96528,25.3,,,,
44804.00694,25.5,,,,
44804.04861,25.6,,,,
44804.09028,25.6,,,,
44804.13194,25.6,,,,
44804.17361,25.6,,,,
44804.21528,25.6,,,,
44804.25694,25.6,,,,
44804.29861,25.5,,,,
44804.34028,25,,,,
44804.38194,25.1,,,,
44804.42361,25.3,,,,
44804.46528,25.4,,,,
44804.50694,25.5,,,,
44804.54861,25.4,,,,
44804.59028,24.7,,,,
44804.63194,24.2,,,,
44804.67361,24.2,,,,
44804.71528,24.2,,,,
44804.75694,24.1,,,,
44804.79861,24.1,,,,
44804.84028,24.6,,,,
44804.88194,24.7,,,,
44804.92361,24.2,,,,
44804.96528,23.7,,,,
44805.00694,23.6,,,,
44805.04861,23.5,,,,
44805.09028,22.9,,,,
44805.13194,22.6,,,,
44805.17361,22.2,,,,
44805.21528,21.8,,,,
44805.25694,21.5,,,,
44805.29861,21.4,,,,
44805.34028,21.4,,,,
44805.38194,21.5,,,,
44805.42361,21.6,,,,
44805.46528,21.7,,,,
44805.50694,21.8,,,,
44805.54861,21.9,,,,
44805.59028,22.1,,,,
44805.63194,22.3,,,,
44805.67361,22.5,,,,
44805.71528,22.6,,,,
44805.75694,22.6,,,,
44805.79861,22.6,,,,
44805.84028,22.4,,,,
44805.88194,22.2,,,,
44805.92361,22,,,,
44805.96528,21.8,,,,
44806.00694,21.2,,,,
44806.04861,20.6,,,,
44806.09028,20.1,,,,
44806.13194,19.4,,,,
44806.17361,18.6,,,,
44806.21528,18,,,,
44806.25694,18.1,,,,
44806.29861,18.9,,,,
44806.34028,19.2,,,,
44806.38194,19.4,,,,
44806.42361,19.9,,,,
44806.46528,20.3,,,,
44806.50694,20.5,,,,
44806.54861,20.7,,,,
44806.59028,20.9,,,,
44806.63194,21.1,,,,
44806.67361,21.3,,,,
44806.71528,21.4,,,,
44806.75694,21.5,,,,
44806.79861,21.6,,,,
44806.84028,21.6,,,,
44806.88194,21.8,,,,
44806.92361,21.9,,,,
44806.96528,22,,,,
44807.00694,22,,,,
44807.04861,21.9,,,,
44807.09028,21.8,,,,
44807.13194,21.6,,,,
44807.17361,21.5,,,,
44807.21528,21.2,,,,
44807.25694,21,,,,
44807.29861,20.9,,,,
44807.34028,20.8,,,,
44807.38194,20.6,,,,
44807.42361,20.8,,,,
44807.46528,20.9,,,,
44807.50694,21.1,,,,
44807.54861,21.3,,,,
44807.59028,21.5,,,,
44807.63194,21.6,,,,
44807.67361,21.8,,,,
44807.71528,22.1,,,,
44807.75694,22.2,,,,
44807.79861,22.3,,,,
44807.84028,22.4,,,,
44807.88194,22.4,,,,
44807.92361,22.5,,,,
44807.96528,22.4,,,,
44808.00694,22.4,,,,
44808.04861,22.5,,,,
44808.09028,22.4,,,,
44808.13194,22.3,,,,
44808.17361,22.2,,,,
44808.21528,22.1,,,,
44808.25694,22,,,,
44808.29861,21.9,,,,
44808.34028,21.8,,,,
44808.38194,21.9,,,,
44808.42361,22,,,,
44808.46528,22.2,,,,
44808.50694,22.4,,,,
44808.54861,22.6,,,,
44808.59028,22.9,,,,
44808.63194,23.1,,,,
44808.67361,23.4,,,,
44808.71528,23.7,,,,
44808.75694,24,,,,
44808.79861,24,,,,
44808.84028,23.9,,,,
44808.88194,24,,,,
44808.92361,24.2,,,,
44808.96528,24.5,,,,
44809.00694,24.6,,,,
44809.04861,24.6,,,,
44809.09028,24.5,,,,
44809.13194,24.5,,,,
44809.17361,24.2,,,,
44809.21528,23.9,,,,
44809.25694,23.7,,,,
44809.29861,23.4,,,,
44809.34028,22.9,,,,
44809.38194,22.5,,,,
44809.42361,22.7,,,,
44809.46528,22.9,,,,
44809.50694,22.9,,,,
44809.54861,23,,,,
44809.59028,23,,,,
44809.63194,23.5,,,,
44809.67361,23.4,,,,
44809.71528,23.4,,,,
44809.75694,23.3,,,,
44809.79861,23.2,,,,
44809.84028,23.1,,,,
44809.88194,22.9,,,,
44809.92361,22.4,,,,
44809.96528,22.1,,,,
44810.00694,21.8,,,,
44810.04861,21.5,,,,
44810.09028,21.3,,,,
44810.13194,21.1,,,,
44810.17361,20.9,,,,
44810.21528,20.6,,,,
44810.25694,20.5,,,,
44810.29861,20.4,,,,
44810.34028,20.3,,,,
44810.38194,20.4,,,,
44810.42361,20.6,,,,
44810.46528,20.7,,,,
44810.50694,20.9,,,,
44810.54861,20.9,,,,
44810.59028,20.9,,,,
44810.63194,20.9,,,,
44810.67361,20.9,,,,
44810.71528,20.9,,,,
44810.75694,20.9,,,,
